,rownum,sno,CUI1,CUI2,lesk,vector
546,546,56,C0384601,C1128439,84,0.0925
547,547,57,C0739379,C2357448,10,0
548,548,58,C2682019,C4033811,1027,0.1095
549,549,59,C0221909,C3109189,30,0.7339
550,550,60,C0817918,C1129002,12,0.0162
551,551,61,C0378244,C1892779,1,0.0193
552,552,62,C2982824,C3801327,13,0.2388
553,553,63,C1068950,C1218509,1024,1
554,554,64,C1120355,C2363939,92,0.2103
555,555,65,C0606926,C2289890,28,0.0502
556,556,66,C2549844,C2735520,14,0.1703
557,557,67,C3382951,C3751859,7,0.0427
558,558,68,C3505811,C3543796,24,0.2362
559,559,69,C1067450,C2342876,4,0.14
560,560,0,C1945941,C3978536,13,0.0725
561,561,1,C0657005,C0796100,15,0.0291
562,562,2,C0457756,C0881278,146,0.1413
563,563,3,C2408610,C3616238,10,0.0474
564,564,4,C2515477,C3107125,12,0.0496
565,565,5,C1429992,C3909319,20,0.0542
566,566,6,C1148017,C3849873,65,0.1318
567,567,7,C2619139,C3280331,20,0.1204
568,568,8,C1836578,C3217585,44,0.0106
569,569,9,C2286646,C3029742,15,0.3038
570,570,10,C3053459,C3162944,6,0.058
571,571,11,C2543111,C2765823,4,0.0897
572,572,12,C2920779,C3060637,25,0.1028
573,573,13,C0721744,C1073606,21,0.1338
574,574,14,C0889697,C3612977,26,0.0332
575,575,15,C3216912,C3330469,24,0.0892
576,576,16,C1454089,C3228356,9,0.0136
577,577,17,C0700792,C2804510,1,0.0105
578,578,18,C2284847,C2664194,20,0.0342
579,579,19,C1968136,C2624978,8,0
580,580,20,C1060102,C3929812,28,0.8065
581,581,21,C2989760,C3391968,1,0.0824
582,582,22,C3238295,C3789253,1,0
583,583,23,C0731750,C3929108,1,0
584,584,24,C2796921,C3621152,37,0.6658
585,585,25,C0175377,C2475238,14,0.1165
586,586,26,C0824720,C2571493,10,0.0722
587,587,27,C1682850,C1921787,8,0.1593
588,588,28,C0827443,C1586365,7,0
589,589,29,C0428374,C3113646,16,0.1312
590,590,30,C1175265,C3938358,15,0.0472
591,591,31,C3272511,C3563896,26,0.7486
592,592,32,C3565837,C3642302,15,0.1102
593,593,33,C3063578,C3243273,1,0
594,594,34,C1932055,C3843430,1,0.008
595,595,35,C1084778,C3090950,14,0.0652
596,596,36,C1184937,C1894216,15,0.5763
597,597,37,C1703316,C1995612,7,0
598,598,38,C0932195,C2681643,14,0.089
599,599,39,C2287866,C3415633,31,0.0927
600,600,40,C3153957,C3435097,1,0
601,601,41,C3097428,C3952019,8,0.0945
602,602,42,C3542031,C3562460,17,0.0228
603,603,43,C0149751,C3715922,1,0.0078
604,604,44,C0966260,C1441849,12,0.0409
605,605,45,C0783302,C1609228,24,0.1276
606,606,46,C1086866,C1470270,5,0.072
607,607,47,C0769846,C2996544,13,0.0584
608,608,48,C2269187,C2652362,1,0.0753
609,609,49,C3275743,C4036199,1600,0.9866
610,610,50,C2646331,C3955931,4225,1
611,611,51,C1904630,C3064510,0,0.0799
