,CUI1,CUI2,vector
677,C0589370,C3274022,0.0470
678,C1135769,C0042131,0.2160
679,C1571349,C0539863,0.1565
680,C1661503,C1224776,0.0816
681,C1914556,C0964951,0.0377
682,C1176451,C2617449,0.1370
683,C1507407,C0023139,0.1314
684,C0820752,C1916874,0.0000
685,C0017787,C3275579,0.3076
686,C0459586,C1315660,0.1518
687,C2504376,C1703127,0.1947
688,C1706891,C0668810,0.3196
689,C2340057,C0804414,0.2991
690,C0049865,C0013390,0.4073
691,C1175772,C0982044,0.0280
692,C0012147,C3889288,0.1052
693,C2996632,C3450449,0.0328
694,C1186705,C2483539,0.0839
695,C2314398,C0211144,0.1052
696,C1940471,C3540473,0.0891
697,C1477492,C0330429,0.6813
698,C3558525,C1178794,0.0185
699,C2344990,C2503573,0.0000
700,C0869004,C1743596,0.6017
701,C1953783,C3822336,0.1526
702,C3758055,C3067738,0.0180
703,C3111207,C2397165,0.0485
704,C3065112,C0486109,0.0899
705,C1527494,C3262013,0.0507
706,C0521662,C3426477,0.1658
707,C3037015,C3858101,0.0000
708,C1449553,C3830014,0.1143
709,C0601103,C0800233,0.1079
710,C1023391,C2000388,0.0199
711,C1026041,C1851628,0.0309
712,C0334556,C1172951,0.2526
713,C2499882,C1159084,0.1444
714,C3034569,C2667448,0.0317
715,C1315276,C3724737,0.4082
716,C2708760,C0439472,0.0560
717,C0363730,C2681517,0.0648
718,C0079183,C1419792,0.2718
719,C2598653,C2407128,0.1154
720,C0362349,C0388904,0.2207
721,C0798555,C1826132,0.0899
722,C0027847,C2483119,0.2383
723,C0708072,C3815107,0.5662
724,C2620622,C1890101,0.0000
725,C0593636,C3783303,0.0000
726,C0944941,C0076029,0.5491
727,C0680328,C3275133,0.0688
728,C0007208,C1484230,0.1312
729,C0012113,C0017287,0.0897
730,C1032913,C1182443,0.6897
731,C3265867,C0800335,0.4386
732,C1412435,C0279730,0.0583
733,C1830840,C1145657,0.3590
734,C0684337,C3432887,0.0596
735,C0278726,C2777841,0.6173
736,C2003461,C0362191,0.3155
737,C1415701,C4003141,0.0757
738,C0017921,C2924087,0.4517
739,C1180386,C0798037,0.0788
740,C3890191,C1978251,0.4165
741,C0950014,C0854570,0.1116
742,C1708803,C3107202,0.8210
743,C2713143,C1645330,0.2046
